"","DIAG","KAP","type","RR","N","prop"
"296","L85",12,"RR3vs2",0.954352602954089,1841,0.000131249575809356
"297","L87",12,"RR1vs2",1.17170580624689,114,8.12735015875424e-06
"298","L87",12,"RR3vs2",0.797363482739616,114,8.12735015875424e-06
"299","L89",12,"RR1vs2",1.67529728101898,13009,0.000927444721186262
"300","L89",12,"RR3vs2",0.693149940815669,13009,0.000927444721186262
"301","M11",13,"RR1vs2",1.18980692740775,2080,0.000148288494124639
"302","M11",13,"RR3vs2",0.721975860165744,2080,0.000148288494124639
"303","M12",13,"RR1vs2",0.846561707962295,1237,8.81888784770087e-05
"304","M12",13,"RR3vs2",0.889996136343875,1237,8.81888784770087e-05
"305","M14",13,"RR1vs2",1.30389426015922,1400,9.98095633531222e-05
"306","M14",13,"RR3vs2",0.656155476479196,1400,9.98095633531222e-05
"307","M17",13,"RR1vs2",1.0052929498832,132647,0.00945674225007258
"308","M17",13,"RR3vs2",0.826167835650472,132647,0.00945674225007258
"309","N23",14,"RR1vs2",1.76524475042538,527,3.75711713479253e-05
"310","N23",14,"RR3vs2",0.896358362620117,527,3.75711713479253e-05
"311","N25",14,"RR1vs2",1.37539976336907,1042,7.42868321528238e-05
"312","N25",14,"RR3vs2",0.807334175145185,1042,7.42868321528238e-05
"313","N26",14,"RR1vs2",1.54313762916683,652,4.64827395044541e-05
"314","N26",14,"RR3vs2",0.643631248400479,652,4.64827395044541e-05
"315","N27",14,"RR1vs2",1.14744215997495,322,2.29561995712181e-05
"316","N27",14,"RR3vs2",0.718089282783062,322,2.29561995712181e-05
"317","N28",14,"RR1vs2",1.22804662707575,12098,0.000862497212461481
"318","N28",14,"RR3vs2",0.812485157926514,12098,0.000862497212461481
"319","N45",14,"RR1vs2",1.12111980304606,13553,0.000966227865803476
"320","N45",14,"RR3vs2",0.867352971328109,13553,0.000966227865803476
"321","N81",14,"RR1vs2",1.00656202650314,44686,0.00318577867714116
"322","N81",14,"RR3vs2",1.00600067103936,44686,0.00318577867714116
"323","R17",18,"RR1vs2",1.21545441826168,8478,0.000604418198648407
"324","R17",18,"RR3vs2",0.807423800401913,8478,0.000604418198648407
"325","R23",18,"RR1vs2",0.875893255963955,10469,0.000746361656245598
"326","R23",18,"RR3vs2",1.10939757405281,10469,0.000746361656245598
"327","R33",18,"RR1vs2",1.15044117922566,59958,0.00427455842823322
"328","R33",18,"RR3vs2",0.930816637809908,59958,0.00427455842823322
"329","R63",18,"RR1vs2",1.37535083562343,48994,0.00349290696208776
"330","R63",18,"RR3vs2",0.774549421718691,48994,0.00349290696208776
"331","S46",19,"RR1vs2",0.973208754537758,39192,0.00279409743352541
"332","S46",19,"RR3vs2",0.778227402653353,39192,0.00279409743352541
"333","T86",19,"RR1vs2",1.18035683613567,1689,0.000120413108931017
"334","T86",19,"RR3vs2",0.875997628072241,1689,0.000120413108931017
"335","T87",19,"RR1vs2",1.76106618968734,2185,0.000155774211376123
"336","T87",19,"RR3vs2",0.591839246546356,2185,0.000155774211376123
"337","T88",19,"RR1vs2",1.13951657884224,55989,0.00399159831612711
"338","T88",19,"RR3vs2",0.906422727354198,55989,0.00399159831612711
"339","A27",1,"RR1vs2",0.907296439779997,138,9.83837124480776e-06
"340","A27",1,"RR3vs2",0.725993328026117,138,9.83837124480776e-06
"341","A49",1,"RR1vs2",1.19078399540965,59820,0.00426472005698841
"342","A49",1,"RR3vs2",0.848158332168931,59820,0.00426472005698841
"343","C82",2,"RR1vs2",1.02221792222877,2456,0.000175094491139477
"344","C82",2,"RR3vs2",0.981277508416722,2456,0.000175094491139477
"345","C84",2,"RR1vs2",1.03382947242586,911,6.49475087247817e-05
"346","C84",2,"RR3vs2",0.97683895299877,911,6.49475087247817e-05
"347","C86",2,"RR1vs2",1.04109342143138,351,2.50236833835328e-05
"348","C86",2,"RR3vs2",1.08918252656512,351,2.50236833835328e-05
"349","C88",2,"RR1vs2",1.035713756194,2195,0.000156487136828645
"350","C88",2,"RR3vs2",1.20199580835509,2195,0.000156487136828645
"351","C91",2,"RR1vs2",0.984587081171873,5569,0.00039702818450967
"352","C91",2,"RR3vs2",1.05653225349589,5569,0.00039702818450967
"353","D12",2,"RR1vs2",0.978908864852823,147732,0.0105321902952025
"354","D12",2,"RR3vs2",0.861402831551172,147732,0.0105321902952025
"355","F09",5,"RR1vs2",3.41919383593137,512,3.65017831691418e-05
"356","F09",5,"RR3vs2",0.726076632051105,512,3.65017831691418e-05
"357","F17",5,"RR1vs2",1.9937849432926,36920,0.00263212077071234
"358","F17",5,"RR3vs2",0.455950260071367,36920,0.00263212077071234
"359","G37",6,"RR1vs2",0.803928068870752,1812,0.000129182091997041
"360","G37",6,"RR3vs2",0.835076893710568,1812,0.000129182091997041
"361","G45",6,"RR1vs2",1.05288350445802,50719,0.00361588660264786
"362","G45",6,"RR3vs2",0.978457322201188,50719,0.00361588660264786
"363","H58",7,"RR1vs2",1.27567363682611,403,2.87308957366488e-05
"364","H58",7,"RR3vs2",1.05012816109765,403,2.87308957366488e-05
"365","H59",7,"RR1vs2",1.14861573611594,974,6.94389390756722e-05
"366","H59",7,"RR3vs2",0.981949570433813,974,6.94389390756722e-05
"367","H68",8,"RR1vs2",0.968150052679811,1863,0.000132818011804905
"368","H68",8,"RR3vs2",0.909323368699119,1863,0.000132818011804905
"369","H82",8,"RR1vs2",1.2449069989699,1558,0.000111073785502975
"370","H82",8,"RR3vs2",0.915393557441193,1558,0.000111073785502975
"371","H83",8,"RR1vs2",0.935262820643889,14846,0.00105840912681461
"372","H83",8,"RR3vs2",0.568103728574543,14846,0.00105840912681461
"373","I30",9,"RR1vs2",1.14196612671331,4824,0.000343915238296758
"374","I30",9,"RR3vs2",0.957770240866051,4824,0.000343915238296758
"375","I36",9,"RR1vs2",1.19700034509065,1475,0.00010515650424704
"376","I36",9,"RR3vs2",0.96804452694849,1475,0.00010515650424704
"377","I39",9,"RR1vs2",0.99900789664471,647,4.61262767781929e-05
"378","I39",9,"RR3vs2",0.815416283506379,647,4.61262767781929e-05
"379","I40",9,"RR1vs2",0.956475973173629,1102,7.85643848679577e-05
"380","I40",9,"RR3vs2",0.833214982408291,1102,7.85643848679577e-05
"381","I45",9,"RR1vs2",1.06379387118493,10357,0.000738376891177348
"382","I45",9,"RR3vs2",0.950577253487722,10357,0.000738376891177348
"383","I51",9,"RR1vs2",1.16826065465183,15208,0.00108421702819592
